lon,lat,jobs,label,hex_q,hex_r,radius_m
-122.33167707611231,47.60606435809254,54021,Denny Triangle / Westlake,-15131,13379,600.0
-122.33976191366939,47.62179765354973,53242,South Lake Union (Amazon • Fred Hutch),-15132,13382,600.0
-122.33167707611231,47.612358244317285,40040,Denny Triangle / Westlake,-15131,13380,600.0
-122.31550740099817,47.65639424177832,26190,Employment center,-15129,13386,600.0
-122.33976191366939,47.60921139587983,25978,Denny Triangle / Westlake,-15132,13380,600.0
-122.32359223855525,47.60921139587983,23504,First Hill Medical (Harborview • Swedish • VM),-15130,13379,600.0
-122.33167707611231,47.61865137315033,19715,South Lake Union (Amazon • Fred Hutch),-15131,13381,600.0
-122.33976191366939,47.615504903406816,19072,Denny Triangle / Westlake,-15132,13381,600.0
-122.33167707611231,47.599769714460905,19045,Downtown / CBD,-15131,13378,600.0
-122.32359223855525,47.60291713095354,11292,Employment center,-15130,13378,600.0
-122.34784675122646,47.62494374460692,10773,South Lake Union (Amazon • Fred Hutch),-15133,13383,600.0
-122.28316805076986,47.662682069297894,9716,Employment center,-15125,13385,600.0
-122.34784675122646,47.612358244317285,9447,Employment center,-15133,13381,600.0
-122.33167707611231,47.58088123897314,8338,SODO / Port / Starbucks HQ,-15131,13375,600.0
-122.34784675122646,47.61865137315033,7790,South Lake Union (Amazon • Fred Hutch),-15133,13382,600.0
