lon,lat,jobs,label,hex_q,hex_r,radius_m
-122.33706696781704,47.62284637160672,47323,Amazon SLU,-90790,80292,100.0
-122.28182057784367,47.663206020742045,8812,Seattle Children’s Hospital,-90749,80310,100.0
-122.32089729270287,47.60921139587983,8454,Swedish First Hill,-90778,80273,100.0
-122.32898213025997,47.60501530341871,8321,Harborview Medical Center,-90784,80272,100.0
-122.33571949489084,47.57930689163367,6775,SODO Industrial / Port of Seattle,-90789,80250,100.0
-122.33841444074321,47.617078161946715,6685,Amazon HQ (Denny Triangle),-90791,80287,100.0
-122.299337725884,47.662682069297894,2874,University of Washington (Seattle),-90762,80316,100.0
-122.33032960318614,47.620224537017926,1760,Meta SLU,-90785,80287,100.0
-122.34919422415264,47.64958157405726,1376,Google Fremont,-90799,80322,100.0
-122.38288104730712,47.66477784352169,1131,Ballard/Terminal 91 Industrial,-90824,80349,100.0
-122.33437202196467,47.5892769585739,901,Starbucks Center (HQ),-90788,80259,100.0
-122.31011750929345,47.60711339172729,863,Seattle University,-90770,80267,100.0
-122.32628718440759,47.633332395100894,565,Fred Hutchinson Cancer Center,-90782,80298,100.0
-122.36536389926681,47.64014718224545,448,Expedia Group Campus,-90811,80319,100.0
